Time (s),q1_values_deg,q2_values_deg,q3_values_mm,q1_dot_deg_per_s,q2_dot_deg_per_s,q3_dot_mm_per_s,q1_dotdot_deg_per_s2,q2_dotdot_deg_per_s2,q3_dotdot_mm_per_s2
48.620000000000005,1.1668294332381333,86.79497824157694,1.0,-0.07204831543342616,0.1194501969337125,0.0,0.14674385750090835,-0.24335295464084084,0.0
48.63,1.1661162919532304,86.79616056814145,1.0,-0.07052723092016988,0.11692774627505287,0.0,0.15727819960009715,-0.2608139979898283,0.0
48.64,1.1654188886197299,86.79731679650244,1.0,-0.06890275144142421,0.11423391697391594,0.0,0.16740728383535242,-0.2776028938811237,0.0
48.65,1.164738236924402,86.79844524648092,1.0,-0.06717908524346283,0.1113756883974304,0.0,0.17709997737813676,-0.293668065260988,0.0
48.660000000000004,1.1640753069148606,86.79954431027039,1.0,-0.06536075189386148,0.10836055566869618,0.0,0.18632514843353043,-0.3089579379178531,0.0
48.67,1.1634310218865247,86.8006124575943,1.0,-0.06345258227479222,0.10519652963907333,0.0,0.19505166582889366,-0.323420940269159,0.0
48.68,1.1628062552693648,86.80164824086317,1.0,-0.061459718577283606,0.101892136863313,0.0,0.20324839929641847,-0.33700550250870265,0.0
48.69,1.162201827514979,86.80265030033156,1.0,-0.059387614288863855,0.09845641958889928,0.0,0.21088421850390393,-0.34966005532766076,0.0
48.7,1.1616185029835875,86.80361736925495,1.0,-0.05724203420720553,0.09489893575675978,0.0,0.21792799304309884,-0.36133302984353577,0.0
48.71,1.161056986830835,86.8045482790467,1.0,-0.05502905442800188,0.09122975899202856,0.0,0.22434859280551223,-0.37197285664092306,0.0
48.72,1.1605179218950274,86.80544196443479,1.0,-0.05275506235109528,0.08745947862394132,0.0,0.23011488688551296,-0.38152796474122397,0.0
48.730000000000004,1.160001885583813,86.80629746861918,1.0,-0.05042675669029162,0.08359919969720409,0.0,0.23519574379349262,-0.389946781389483,0.0
48.74,1.1595093867612216,86.80711394842874,1.0,-0.04805114747522543,0.07966054299615166,0.0,0.23956003103564605,-0.39717773045566673,0.0
48.75,1.1590408626343085,86.8078906794791,1.0,-0.0456355560695787,0.07565564508809075,0.0,0.24317661498740595,-0.40316923247019076,0.0
48.76,1.15859667563983,86.8086270613305,1.0,-0.04318761517547731,0.07159715834674785,0.0,0.24601436084903394,-0.4078697040199586,0.0
48.77,1.158177110330799,86.80932262264604,1.0,-0.04071526885259802,0.06749825100769158,0.0,0.24804213186679913,-0.4112275561141132,0.0
48.78,1.157782370262778,86.80997702635065,1.0,-0.03822677253814133,0.06337260722446558,0.0,0.2492287895838885,-0.4131911943261457,0.0
